date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:13:37	51/51	---M--	200	added ('OK')	text/plain	date:Thu,%2011%20Jul%202024%2014:43:36%20GMT	https://aquavision.b12sites.com/robots.txt		(from )
20:16:18	267808/267808	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Jul%202024%2014:45:50%20GMT	https://aquavision.b12sites.com/	C:/My%20Web%20Sites/AquaVision/aquavision.b12sites.com/index.html	(from )
20:16:21	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-1538f%22	https://code.jquery.com/jquery-3.3.1.min.js	C:/My%20Web%20Sites/AquaVision/code.jquery.com/jquery-3.3.1.min.js	(from https://aquavision.b12sites.com/)
20:16:22	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2011%20Jul%202024%2014:46:19%20GMT	http://aquavision.b12sites.com/assets/fonts/roboto-cyrillic-ext-normal-300.woff2	C:/My%20Web%20Sites/AquaVision/aquavision.b12sites.com/assets/fonts/roboto-cyrillic-ext-normal-300.1.delayed	(from https://aquavision.b12sites.com/)
20:16:30	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2011%20Jul%202024%2014:46:29%20GMT	http://aquavision.b12sites.com/assets/fonts/roboto-cyrillic-normal-300.woff2	C:/My%20Web%20Sites/AquaVision/aquavision.b12sites.com/assets/fonts/roboto-cyrillic-normal-300.woff2	(from https://aquavision.b12sites.com/)
20:16:34	10412/10412	---M--	200	added ('OK')	font/woff2	date:Thu,%2011%20Jul%202024%2014:46:26%20GMT	https://aquavision.b12sites.com/assets/fonts/roboto-cyrillic-ext-normal-300.woff2	C:/My%20Web%20Sites/AquaVision/aquavision.b12sites.com/assets/fonts/roboto-cyrillic-ext-normal-300.woff2	(from https://aquavision.b12sites.com/)
20:16:36	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2011%20Jul%202024%2014:46:36%20GMT	http://aquavision.b12sites.com/assets/fonts/roboto-greek-ext-normal-300.woff2	C:/My%20Web%20Sites/AquaVision/aquavision.b12sites.com/assets/fonts/roboto-greek-ext-normal-300.woff2	(from https://aquavision.b12sites.com/)
20:16:39	756/756	---M--	200	added ('OK')	font/woff2	date:Thu,%2011%20Jul%202024%2014:46:38%20GMT	https://aquavision.b12sites.com/assets/fonts/roboto-greek-ext-normal-300.woff2	C:/My%20Web%20Sites/AquaVision/aquavision.b12sites.com/assets/fonts/roboto-greek-ext-normal-300.woff2	(from https://aquavision.b12sites.com/)
20:16:39	6480/6480	---M--	200	added ('OK')	font/woff2	date:Thu,%2011%20Jul%202024%2014:46:36%20GMT	https://aquavision.b12sites.com/assets/fonts/roboto-cyrillic-normal-300.woff2	C:/My%20Web%20Sites/AquaVision/aquavision.b12sites.com/assets/fonts/roboto-cyrillic-normal-300.woff2	(from https://aquavision.b12sites.com/)
20:16:39	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2011%20Jul%202024%2014:46:39%20GMT	http://aquavision.b12sites.com/assets/fonts/roboto-greek-normal-300.woff2	C:/My%20Web%20Sites/AquaVision/aquavision.b12sites.com/assets/fonts/roboto-greek-normal-300.woff2	(from https://aquavision.b12sites.com/)
